,Unnamed: 0,Name,Brand,Rating,BestSeller,AmazonChoice,Comments,Price,Stars
43,43,"Mouse Mover Device Kissyee, Mouse Jiggler Undetectable Automatic with ON/Off Switch and USB Port Driver-Free, Mouse Shaker Simulates Mouse Movement and Prevents Computer Laptop Inactive/Lockdown",Brand: KissYee,38 ratings,0,0,4 answered questions,29.99,4 out of 5
44,44,"3 in 1 Magnetic Wireless Charger, Aluminum Alloy 15W Fast Wireless Charging Station for iPhone 13/12,Pro,Pro Max,Mini, MagSafe Charger Stand Dock for Apple AirPods 3/2/Pro, Apple Watch 7/SE/6/5/4/3/2",Visit the Acdoob Store,84 ratings,0,0,15 answered questions,39.97,4.3 out of 5
47,47,Echo Dot (4th Gen) with Clock | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,Brand: Amazon,"5,527 ratings",0,0,19 answered questions,0.0,4.8 out of 5
49,49,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",Visit the Blink Home Security Store,"190,222 ratings",0,1,773 answered questions,0.0,4.4 out of 5
51,51,"Amazon Basics Adjustable Tablet Holder Stand - Compatible with Apple iPad, Samsung Galaxy and Kindle Fire Tablets",Visit the AmazonBasics Store,"26,092 ratings",0,1,353 answered questions,10.19,4.6 out of 5
52,52,"Ethernet Adapter for Fire TV Stick, Electop Micro USB to RJ45 Ethernet Network Adapter Compatible with 4K Fire Stick ,Chromecast Google Home Mini and More Streaming TV Sticks(Adhesive Tape Included)",Visit the ELECTOP Store,"30,014 ratings",0,0,0,12.99,0
56,56,"Fire TV Cube, Hands-free streaming device with Alexa, 4K Ultra HD, includes Alexa Voice Remote",Brand: Amazon,"28,490 ratings",0,0,1000+ answered questions,0.0,4.6 out of 5
57,57,Echo Show 10 (3rd Gen) | HD smart display with motion and Alexa | Charcoal,Brand: Amazon,"1,229 ratings",0,1,881 answered questions,0.0,4.5 out of 5
59,59,"Macally Car Headrest Tablet Holder, Adjustable iPad Car Mount for Kids in Backseat, Compatible with Devices Such as iPad Pro Air Mini, Galaxy Tabs, And 7"" to 10"" Tablets and Cell Phones - Black",Visit the Macally Store,"196,826 ratings",0,0,68 answered questions,0.0,4.4 out of 5
60,60,"All-new Echo Dot (4th Gen) Smart Speaker with clock - Glacier White with All New, Made for Amazon, featuring The Mandalorian Baby GroguTM-inspired Stand for Amazon Echo Dot (4th Gen)",Brand: Amazon,"6,512 ratings",0,1,1000+ answered questions,74.94,4.8 out of 5
61,61,"WALI Outlet Shelf Wall Holder, Standard Vertical Duplex Decorative Outlet Space Saving for Smart Home Speakers Anything up to 10lbs, Easy Install with in a minute (OLS001-W), 1 Pack, White",Visit the WALI Store,820 ratings,0,0,0,0.0,4.6 out of 5
62,62,"Charger [UL Listed] Compatible for Amazon Kindle Fire HD 10 9th Generation 2021 Release, Fire HDX 6"" 7"" 8.9"" 9.7"", Fire 7 HD 8 10 Tablet and Phone with 5Ft Micro-USB & USB C 2 in 1 Cable",Visit the KABCON Store,"2,248 ratings",0,0,31 answered questions,12.99,4.4 out of 5
64,64,"Outlet Wall Mount for Blink Sync Module 2,Simple Mount Bracket Holder for All-New Blink Outdoor and All-New Blink Indoor Home Security Camera with Easy Mount Short Cable（White,1pack）",Brand: HOLACA,504 ratings,0,0,12 answered questions,8.99,4.8 out of 5
65,65,"5 Pack 32GB Flash Drive, USB 2.0 Swivel Thumb Drives Bulk Memory Stick Jump Drive Pen Drive Zip Drive for Data Storage,Black/Blue/Orange/Green/Purple (32G, 5Pcs Mixed Color)",Visit the hrongshk Store,142 ratings,0,1,7 answered questions,19.99,4.6 out of 5
66,66,"VODESON Key Finder, Wireless RF Item Locator,1 RF Transmitter and 4 Receivers Keychain Key RingsFinder, Included Mini Stickers(New Upgrade Generation,Long Lasting Batteries),Pet & Wallet Tracker",Visit the Vodeson Store,"45,553 ratings",0,0,3 answered questions,18.99,4.3 out of 5
67,67,"SURTUNERNY TF Card 1024GB Memory Card Hight Speed Class 10 TF Card with TF Card Adapter for Camera,Phone,Tablet,Dash Came,Surveillance,Computer,Dash Came（Red）",Brand: SURTUNERNY,"33,934 ratings",0,0,0,23.99,0
69,69,Ring Chime Pro,Visit the Ring Store,"2,105 ratings",0,1,724 answered questions,0.0,4.6 out of 5
70,70,"Dekodots Smart Speaker Table Stand (Dragon) - Decorative Holder for Amazon Echo Dot or Google Home Mini - Portable Design, No Sound or Microphone Interference - Durable Poly-Resin",Visit the Dekodots Store,406 ratings,0,0,0,29.99,4.7 out of 5
71,71,"2 Pack OTG Cable Replacement for Fire Stick 4K, Compatible Samsung Galaxy, Amazon Fire TV, Compatible with LG HTC Android Phone Tablet Micro USB Host with Micro USB Power",Visit the Accessonico Store,"46,855 ratings",0,1,29 answered questions,5.97,4.4 out of 5
72,72,"Dekodots Smart Speaker Table Stand (LLama) - Decorative Holder for Amazon Echo Dot or Google Home Mini - Portable Design, No Sound or Microphone Interference - Durable Poly-Resin",Visit the Dekodots Store,"4,101 ratings",0,0,4 answered questions,19.99,4.7 out of 5
75,75,Ooma Telo Free Home Phone Service. Works with Amazon Echo and Smart Devices (Renewed),Visit the Amazon Renewed Store,44 ratings,0,0,186 answered questions,49.99,4.4 out of 5
77,77,"USB-C-Wall-Charger, Fast-Charger for iPhone-13, 12, KRX Upgraded Dual Ports Compact Fast Charger Adapter, Portable Travel Home USB Plug Cube with PD 20W and QC 3.0 for Android Phones, Tablet, Laptop",Visit the KRX Store,269 ratings,0,0,10 answered questions,9.99,4.4 out of 5
78,78,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite - Wifi, Ad-supported, Amazon Fabric Cover, and Power Adapter",Brand: Amazon,"10,313 ratings",0,1,9 answered questions,169.97,4.8 out of 5
79,79,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Fabric Cover, and Wireless charging dock",Brand: Amazon,"103,381 ratings",0,1,18 answered questions,229.97,4.7 out of 5
80,80,"Garmin DriveSmart 65 with Amazon Alexa, Built-In Voice-Controlled GPS Navigator with 6.95” High-Res Display",Visit the Garmin Store,"2,920 ratings",0,0,1000+ answered questions,229.99,4.5 out of 5
81,81,Ring Video Doorbell (Satin Nickel) bundle with Echo Show 5 (2nd Gen),Visit the Ring Store,"2,106 ratings",0,1,1000+ answered questions,179.98,4.7 out of 5
83,83,"Amazon Basics 4-Port USB Car Charger for Apple & Android Devices, 9.6A/48W, Black",Visit the Amazon Basics Store,28 ratings,0,1,16 answered questions,0.0,4.7 out of 5
84,84,"QFUP USB Power Adapter for Fire TV Stick, Fire Stick TV Replacement Power Cord USB Power Cable Power Your Fire Stick Directly Form Your TV'S USB Port （Eliminates The AC Outlet and Power Cord）",Visit the QFUP Store,"1,785 ratings",0,0,6 answered questions,16.99,4.3 out of 5
85,85,"Amazon Basics Universal Travel Case Organizer for Small Electronics and Accessories, Black, 10 Pack",Visit the Amazon Basics Store,238 ratings,0,0,0,104.55,4.6 out of 5
88,88,"SURTUNERNY TF Card 1024GB Memory Card Hight Speed Class 10 TF Card with TF Card Adapter for Camera,Phone,Tablet,Dash Came,Surveillance,Computer,Dash Came（Grey）",Brand: SURTUNERNY,"1,541 ratings",0,0,0,21.99,0
91,91,"Kindle Oasis Essentials Bundle including Kindle Oasis (Graphite, Ad-Supported), Amazon Fabric Cover, and Power Adapter",Brand: Amazon,"10,693 ratings",0,0,118 answered questions,309.97,4.7 out of 5
93,93,Poly (Plantronics + Polycom) OBiWiFi5G USB USB Wi-Fi Accessory for VoIP Adapters (1517-49585-001),Brand: Poly (Plantronics + Polycom),"33,288 ratings",0,0,32 answered questions,0.0,4.5 out of 5
97,97,"Exquisite Gaming Knuckles Cable Guys Mobile Phone and Controller Holder - Not Machine Specific , Red",Brand: Exquisite Gaming,3 ratings,0,0,0,21.99,4.9 out of 5
100,100,Car GPS Device Charging Cable Compatible for Garmin RV 890 / DEZL OTR1000 /OTR800 / Garmin Speak Plus with Amazon Alexa,Brand: QCC,"73,028 ratings",0,0,0,9.66,2.6 out of 5
104,104,"Garmin 0101272300 Spine Mount Adapter w/Cara, Black, Small",Visit the Garmin Store,6 ratings,0,1,6 answered questions,14.99,4.6 out of 5
106,106,"Rear View Mirror Phone Holder, 360° Rotatable and Retractable Car Rearview Mirror Bracket, Multifunctional Adjustable Phone Holder, Universal Phone Navigation GPS Holder for Almost All Mobile",Visit the UBeesize Store,"1,210 ratings",0,0,0,19.71,0
107,107,"Amazon Basics 4.8 Amp 24W Dual USB Car Charger for Apple and Android Devices, Black and Red, 4-Pack",Visit the Amazon Basics Store,"45,395 ratings",0,0,0,0.0,4.6 out of 5
109,109,"Sidiyang USB Charging Station 6 Ports Multi Device Dock Desk Organizer Charge Station,Multiple Charger Station, with Watch Stand for Phone/Tablets/Smartphones (Included 6 Cables)",Visit the Sidiyang Store,"4,151 ratings",0,0,0,31.99,4.4 out of 5
110,110,"Key Finder,VODESON Wireless Key Tracker,Item Tag Locator,Beeper Alarm Tracking Device,Easy to Use Suitable for The Elderly,Find Keys,Keychain,Wallet,TV Remote Control,Phone,Pet Cat -No APP Required",Visit the Vodeson Store,"3,084 ratings",0,0,24 answered questions,15.99,4.5 out of 5
111,111,"SURTUNERNY TF Card 1024GB Memory Card Hight Speed Class 10 TF Card with TF Card Adapter for Camera,Phone,Tablet,Dash Came,Surveillance,Computer,Dash Came（Yellow）",Brand: SURTUNERNY,"1,767 ratings",0,0,0,21.99,0
116,116,"Charger Cord Replacement for Amazon Fire TV Stick, Fire Tablet, Compatible Smasung Android Phone Micro USB Charger Cable and AC/DC Home Wall Charger Power Adapter",Visit the Accessonico Store,110 ratings,0,1,15 answered questions,11.99,4.6 out of 5
117,117,"Targus Slim Stylus Pen for Tablets and Smartphones, Apple iPad, Samsung Galaxy, and ALL Touchscreen devices with Slim Durable Rubber Tip, Silver (AMM1205US)",Visit the Targus Store,"4,812 ratings",0,0,3 answered questions,11.5,4.4 out of 5
118,118,Echo Flex - Plug-in mini smart speaker with Alexa LIFX Smart Bulb (Wi-Fi),Brand: Amazon,4 ratings,0,0,4 answered questions,0.0,4.3 out of 5
119,119,"Digi-Chip 32GB Micro-SD Memory Card UHS-1 High Speed for Amazon Fire 7, Fire 7 Kids, Amazon Fire HD8, HD8 Kids, Fire HD10, Fire HD 10 Kids Tablet PC",Brand: Digi-Chip,"5,178 ratings",0,0,0,11.75,4.3 out of 5
122,122,"Apple Smart Keyboard for iPad (9th, 8th and 7th Generation) and iPad Air (3rd Generation) - US English",Visit the Apple Store,"204,775 ratings",0,1,132 answered questions,0.0,4.6 out of 5
127,127,"Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC, Mac, PlayStation, & Xbox - 1-Year Rescue Service (STGX2000400)",Visit the Seagate Store,"1,148 ratings",0,1,1000+ answered questions,61.99,4.7 out of 5
130,130,"Wireless Charger Stand, GEEKERA 3 in 1 Wireless Charging Station for Apple Products Charger Station for iWatch 7/6/SE/5/4/3/2, Airpods Pro/2, iPhone 13/13 Pro/12/12 Pro/11 Series/XS Max/XR/XS/X/8/Plus",Visit the GEEKERA Store,"3,677 ratings",0,0,30 answered questions,41.77,3.9 out of 5
135,135,Made for Amazon SanDisk 16GB microSD Memory Card for Fire Tablets and Fire TV,Visit the SanDisk Store,"5,435 ratings",0,1,157 answered questions,7.95,4.5 out of 5
139,139,"Elgato Stream Deck - Live Content Creation Controller with 15 Customizable LCD Keys, Adjustable Stand, for Windows 10 and macOS 10.13 or Late (10GAA9901)",Visit the Elgato Store,"2,674 ratings",0,0,838 answered questions,0.0,4.8 out of 5
140,140,Certified Refurbished Echo Auto- Hands-free Alexa in your car with your phone,Brand: Amazon,"6,864 ratings",0,0,130 answered questions,0.0,4.2 out of 5
142,142,"Energizer Rechargeable AA and AAA Battery Charger with 4 Rechargeable AA Batteries, Recharge Value Battery Charger for Double A Batteries and Triple A Batteries",Visit the Energizer Store,"1,489 ratings",0,0,306 answered questions,17.36,4.6 out of 5
144,144,Echo Dot (4th Gen) | Charcoal with Sengled Bluetooth Color bulb | Alexa smart home starter kit,Brand: Amazon,618 ratings,0,0,24 answered questions,0.0,4.7 out of 5
145,145,"GE 6-Device Backlit Universal Remote Control for Samsung, Vizio, Lg, Sony, Sharp, Roku, Apple TV, Smart TVs, Streaming Players, Blu-Ray, DVD, Master Volume Control, Black, 47504",Visit the GE home electrical Store,37 ratings,0,0,556 answered questions,0.0,4.3 out of 5
146,146,Apple EarPods with Lightning Connector - White,Visit the Apple Store,"13,144 ratings",0,1,560 answered questions,0.0,4.6 out of 5
147,147,"Uogic Stylus Pen for iPad, 2021 Model, Magnetic, Rechargeable, Palm Rejection, Compatible with Apple iPad Pro 11""/12.9"" 2018/2020/2021, iPad 6/7/8/9th Gen, iPad Mini 5/6th Gen, iPad Air 3rd/4th Gen",Visit the UOGIC Store,440 ratings,0,0,62 answered questions,21.98,4.3 out of 5
148,148,"Samsung Galaxy SmartTag Bluetooth Tracker & Item Locator for Keys, Wallets, Luggage, Pets and More (1 Pack), Black (US Version)",Visit the SAMSUNG Store,"2,638 ratings",0,1,167 answered questions,29.64,4.4 out of 5
150,150,"LuckyStar Universal TV Remote Control Compatible with Vizio Brand LED LCD Smart E Series TV Smart Internet Apps with Amazon, Netflix and M-GO Keys, if Applicable XRT112 XRT100 VR1 VR2 VR10 VR15",Brand: Lucky Star,422 ratings,0,0,5 answered questions,12.99,4 out of 5
151,151,"Rubbermaid Reveal Power Scrubber, Grout & Tile Bathroom Cleaner, Shower Cleaner, and Bathtub Cleaner, Multi-Purpose Scrub Brush",Visit the Rubbermaid Store,618 ratings,0,0,118 answered questions,19.99,4.5 out of 5
153,153,"Terasako Magnetic Charging Cable 6-Pack [1ft/3ft/3ft/6ft/6ft/10ft], 3 in 1 Nylon Braided Magnetic Phone Charger, Compatible with Micro USB, Type C, iProduct and Most Devices",Visit the Terasako Store,"461,320 ratings",0,0,19 answered questions,19.99,4 out of 5
155,155,"USB Wall Charger, Fast Charger Adapter, Besgoods 18W 4-Pack QC Wall Charger Block Fast Charging 3.0 USB Plug Compatible Wireless Charger, Samsung Galaxy S9 S8/Note 8 9, iPhone, HTC - White",Visit the Besgoods Store,"7,615 ratings",0,0,9 answered questions,16.19,4.7 out of 5
157,157,"LuckyStar Universal TV Remote Control Compatible with Vizio Brand LED LCD Smart E Series TV Smart Internet Apps with Amazon, Netflix and M-GO Keys, if Applicable XRT112 XRT100 VR1 VR2 VR10 VR15",Brand: Lucky Star,"1,433 ratings",0,0,5 answered questions,12.99,4 out of 5
158,158,Echo Dot (4th Gen) + Amazon Smart Plug | Charcoal,Brand: Amazon,"1,404 ratings",0,1,1000+ answered questions,64.98,4.7 out of 5
159,159,Amazon Basics External Hard Drive Portable Carrying Case,Visit the AmazonBasics Store,49 ratings,0,1,386 answered questions,9.0,4.8 out of 5
161,161,"Power Strip Tower Surge Protector, JACKYLED 1625W 13A Outlet Surge Electric Tower, 12 Outlets 6 USB Ports Charging Station with 16AWG 6.5ft Heavy Duty Extension Cord for Home Office Dorm",Visit the JACKYLED Store,"29,048 ratings",0,0,242 answered questions,25.49,4.7 out of 5
163,163,"Shure A26X 3"" Extension Tube for Desk Stands (Also Adapts BETA 56 to Various Mounting Devices)",Visit the Shure Store,"1,421 ratings",0,1,12 answered questions,0.0,4.8 out of 5
165,165,"FATHERS DAY GIFTS - ABHANDICRAFTS Multiple Cell Phone holder with metal pen holder,free coaster inside box.",Visit the abhandicrafts Store,221 ratings,0,0,0,34.99,4.7 out of 5
166,166,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI® Cable",Visit the Roku Store,"2,048 ratings",0,0,907 answered questions,0.0,4.7 out of 5
167,167,"Scosche MAGDMB MagicMount Magnetic Car Phone Holder Mount - 360 Degree Adjustable Head, Universal with All Devices - Dashboard Mount",Visit the Scosche Store,"320,282 ratings",0,0,464 answered questions,12.99,4.5 out of 5
169,169,"USB Type c Cable, 5 Pack (6FT) QQLIKE Nylon Braided USB C Cable 3A Fast Charging Cord for Samsung Galaxy S9 S8 Note 9 Note 8 Galaxy Note 20 10 S21 S20 S10 Plus C Cord Type C Cable",Visit the QQLIKE Store,32 ratings,0,1,45 answered questions,12.99,4.7 out of 5
170,170,"BULL Power Strip USB Charging Station,5ft Extension Cord with 3 AC Outlets and 3 USB Ports,Multiple Charger Station for Cell Phone,Computer,Cruise Ship, Travel,Office,Home,TUV Listed",Visit the BULL Store,"1,831 ratings",0,0,15 answered questions,17.98,4.6 out of 5
172,172,"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-256G-GN6MA",Visit the SanDisk Store,153 ratings,0,1,1000+ answered questions,33.23,4.8 out of 5
173,173,Apple AirPods (2nd Generation),Visit the Apple Store,776 ratings,0,1,1000+ answered questions,0.0,4.8 out of 5
174,174,40W 8-Port USB Charger Hub Multi USB Port Charging Station for iPhone Android Phones Tablets Kindle Headphone and Other Multiple Devices(Total USB Power Output 40W 5V/8A),Brand: Kitbox,"6,803 ratings",0,0,0,19.99,4.4 out of 5
175,175,"EATON CHSPT2ULTRA Ultimate Surge Protection 3rd Edition, 2.38"" Length, 5.25"" Width 7.5"" Height",Visit the Eaton Store,"50,781 ratings",0,0,246 answered questions,137.9,4.8 out of 5
177,177,"Cherrry for LG G Pad 5 10.1 inch Tablet Case, Kids Friendly Hybrid Full-Body Shockproof Armor Defender Rugged Protective Case Cover for LG G Pad 5 10.1 inch 2019 (Red/Black)",Visit the Cherrry Store,"5,393 ratings",0,0,0,19.99,4.3 out of 5
179,179,"Amazon Smart Thermostat with Echo Show 5 (2nd Gen, 2021 release) - Glacier White",Brand: Amazon,"20,534 ratings",0,0,731 answered questions,129.98,4.2 out of 5
180,180,Apple AirTag,Visit the Apple Store,935 ratings,0,1,532 answered questions,0.0,4.7 out of 5
181,181,"Made for Amazon, Volume Limiting Bluetooth BuddyPhones, PopTime in Blue. Ages (8-15)",Brand: ONANOFF,"3,150 ratings",0,1,39 answered questions,0.0,4.6 out of 5
184,184,Apple AirTag 4 Pack,Visit the Apple Store,361 ratings,0,1,320 answered questions,0.0,4.7 out of 5
185,185,"Garmin Approach CT10, Full Set, Automatic Club Tracking System, 14 Sensors, White, 010-01994-00",Visit the Garmin Store,"5,408 ratings",0,1,92 answered questions,251.83,4.5 out of 5
188,188,Meta Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB,Visit the Meta Quest Store,128 ratings,0,1,0,0.0,4.8 out of 5
189,189,Amazon Basics 10.5-inch Large EVA Case for Accessories - Ash Gray,Visit the Amazon Basics Store,"1,584 ratings",0,0,0,16.18,4.3 out of 5
190,190,Sideclick Remotes SC2-FT16K Universal Remote Attachment for Amazon Fire TV Streaming Player,Brand: Sideclick,"12,059 ratings",0,0,356 answered questions,24.99,4.3 out of 5
192,192,Apple MagSafe Charger,Visit the Apple Store,7 ratings,0,1,338 answered questions,0.0,4.6 out of 5
193,193,"Scosche CPDCC40 PowerVolt 40-Watt Certified USB Type-C Fast Car Charger Power Delivery 3.0 for Standard USB-C Devices, Dual USB-C Charger",Visit the Scosche Store,"5,178 ratings",0,0,3 answered questions,0.0,4.5 out of 5
194,194,"Made for Amazon Remote Holder, for Fire TV Remotes",Visit the Mission Cables Store,235 ratings,0,0,17 answered questions,0.0,4.7 out of 5
195,195,"Kasa Smart Plug Classic 15A, Smart Home Wi-Fi Outlet Works with Alexa & Google Home, No Hub Required, UL Certified, 2.4G WiFi Only, 1-Pack(HS105) , White",Visit the Kasa Smart Store,1 rating,0,0,0,0.0,4.5 out of 5
196,196,"Hercules Tuff Charging Station for Multiple Devices, with 6 USB Fast Ports, Compatible with Cell Phones, Smart Phones, Tablets, and Other Electronics, Pink",Visit the Hercules Tuff Store,"3,814 ratings",0,0,6 answered questions,35.99,4.3 out of 5
197,197,"Green S-Pen Stylus Replacement for Samsung Galaxy Note20 Note20+ Note20 Ultra (Without Bluetooth) , Stylus Touch S Pen for Galaxy Note 20 Series (Gray)",Brand: AISELAN,"5,230 ratings",0,0,0,20.99,3.4 out of 5
199,199,"Cmple - USB Printer Cable USB 2.0 A Male to B Male USB Cord for Printers, Scanners, External Hard Drives Camera - 6 Feet",Visit the Cmple Store,451 ratings,0,0,0,6.99,4.6 out of 5
200,200,"DaVoice 44mm Tripod Quick Release Plate for Amazon Basics 60-Inch, Targus, Velbon, Sony + DaVoice 360 Degree Aluminum Alloy Rotating Swivel Mini Tripod Ball Head with 1/4"" Screw Thread Base Mount",Visit the DaVoice Store,213 ratings,0,0,0,0.0,5 out of 5
203,203,"Fire 7 Essentials Bundle including Fire 7 Tablet, Amazon Standing Case, and Nupro Anti-Glare Screen Protector",Brand: Amazon,758 ratings,0,0,0,85.97,4.5 out of 5
205,205,"Kindle Fire Fast Charger [UL Listed] AC Adapter EWUONU Rapid Chargers with 6.6 Ft Micro-USB and Type-C 2 in 1 Cable for Amazon Kindle Fire HD, HDX 6"" 7"" 8.9"" 9.7"", Fire 7 8 10 Tablet and Phone (Black)",Visit the EWUONU Store,"145,725 ratings",0,0,5 answered questions,10.99,4.3 out of 5
206,206,Blink Outdoor 3 Cam Kit bundle with Echo Show 5 (2nd Gen),Visit the Blink Home Security Store,10 ratings,0,0,1000+ answered questions,329.98,4.4 out of 5
207,207,EOT 5 Dash Mount with Extra Dashboard Base,Visit the iOttie Store,34 ratings,0,0,0,0.0,4.6 out of 5
208,208,Custom Accessories 18003 12V Dual USB Under Dash Mount,Visit the Custom Accessories Store,253 ratings,0,1,37 answered questions,15.5,4.6 out of 5
210,210,"SanDisk 128GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-128G-GN4IN",Visit the SanDisk Store,"60,332 ratings",1,0,669 answered questions,29.03,4.8 out of 5
212,212,"USB Cable for Fire Stick, Micro USB Power Cable for Amazon Fire Stick, Power up Your Fire Stick from Your TV's USB Port, Chromecast, Roku Stick, TiVo Stream 4K, 2 Pack",Visit the TIZOPO Store,"1,922 ratings",0,0,0,8.99,3.8 out of 5
213,213,"Dekodots Smart Speaker Table Stand (Hedgehog) - Decorative Holder for Amazon Echo Dot or Google Home Mini - Portable Design, No Sound or Microphone Interference - Durable Poly-Resin",Visit the Dekodots Store,"3,150 ratings",0,0,0,19.99,4.7 out of 5
215,215,Apple Pencil (2nd Generation),Visit the Apple Store,"1,478 ratings",1,0,589 answered questions,0.0,4.8 out of 5
216,216,Apple 20W USB-C Power Adapter,Visit the Apple Store,"11,087 ratings",0,1,368 answered questions,0.0,4.8 out of 5
